Type of Property,Floor Size,Levies,Rates and Taxes,Pets Allowed,Lounge,Garage,Garden,price,Erf Size,Kitchen,Pool,Dining Room,Parking,Bathroom,Bedroom
0.0,403.0,2500.0,1300.0,1,1.0,2.0,1.0,2999000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1800.0,1,1.0,1.0,1.0,2390000,892.0,0.0,1.0,0.0,0.0,3.0,1.0
0.0,220.0,1932.0,1152.0,1,1.0,1.0,1.0,3495000,1.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,249.0,1932.0,1151.0,1,1.0,2.0,1.0,2770000,356.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,223.0,1400.0,1200.0,1,1.0,2.0,1.0,2340000,255.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,251.0,1200.0,1400.0,1,1.0,2.0,1.0,2660000,320.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,3670.0,3250.0,0,1.0,3.0,0.0,13250000,9102.0,0.0,1.0,1.0,0.0,3.0,1.0
1.0,104.0,1967.0,655.0,1,0.0,0.0,0.0,890000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,415.0,1932.0,2100.0,1,0.0,2.0,0.0,3650000,2.0,1.0,1.0,1.0,1.0,3.0,1.0
1.0,51.0,788.0,440.0,1,0.0,0.0,0.0,645000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,0.0,2695000,9102.0,0.0,0.0,1.0,0.0,3.0,1.0
2.0,282.0,2600.0,748.0,1,0.0,1.0,0.0,1236000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
1.0,145.0,4000.0,1270.0,1,0.0,0.0,0.0,2190000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,1500.0,1,0.0,3.0,1.0,2950000,2.0,2.0,1.0,2.0,6.0,3.0,1.0
1.0,88.0,1966.0,1151.0,0,1.0,0.0,0.0,860000,9102.0,0.0,0.0,1.0,0.0,3.0,1.0
2.0,96.0,970.0,850.0,1,1.0,1.0,1.0,990000,5.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,900.0,1,0.0,2.0,1.0,1850000,787.0,3.0,1.0,2.0,6.0,3.0,1.0
2.0,189.0,2700.0,950.0,0,1.0,1.0,0.0,1350000,5.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,0,0.0,3.0,1.0,4600000,2.0,0.0,1.0,1.0,10.0,3.0,1.0
0.0,400.0,1932.0,1151.0,1,1.0,0.0,1.0,3300000,1.0,0.0,1.0,1.0,0.0,3.0,1.0
1.0,120.0,2200.0,1100.0,0,1.0,0.0,0.0,1095000,150.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,15000.0,1,0.0,2.0,1.0,4300000,1.0,0.0,1.0,1.0,2.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,2.0,0.0,2240000,9102.0,0.0,1.0,1.0,4.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,1.0,3600000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,1.0,3100000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,1.0,1.0,2990000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,79.0,1264.0,933.0,1,0.0,0.0,1.0,1599000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
1.0,106.0,1400.0,750.0,1,0.0,0.0,0.0,900000,2.0,0.0,0.0,1.0,1.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,2.0,3.0,1.0,6500000,8.0,1.0,1.0,2.0,10.0,3.0,1.0
0.0,185.0,350.0,480.0,1,0.0,1.0,1.0,2580000,685.0,0.0,0.0,0.0,1.0,3.0,1.0
2.0,175.0,1500.0,700.0,1,0.0,0.0,0.0,1850000,9.0,0.0,0.0,1.0,0.0,3.0,1.0
1.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,645000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,228.0,485.0,1200.0,1,1.0,2.0,1.0,1850000,512.0,0.0,0.0,1.0,2.0,3.0,1.0
0.0,282.0,1932.0,1285.0,1,0.0,2.0,0.0,2999000,1.0,0.0,1.0,1.0,0.0,3.0,1.0
2.0,113.0,1180.0,599.0,1,1.0,0.0,1.0,1350000,9102.0,1.0,1.0,1.0,2.0,3.0,1.0
0.0,254.0,1932.0,541.0,1,0.0,2.0,1.0,1350000,415.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,531.0,1932.0,530.0,1,0.0,0.0,0.0,1350000,1.0,1.0,1.0,1.0,4.0,3.0,1.0
0.0,282.0,1932.0,1151.0,1,0.0,0.0,0.0,3650000,650.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,130.0,1932.0,750.0,1,0.0,0.0,0.0,1095000,223.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,282.0,1932.0,597.0,1,1.0,1.0,1.0,900000,495.0,1.0,0.0,1.0,1.0,3.0,1.0
1.0,120.0,2730.0,631.0,1,0.0,2.0,0.0,1095000,200.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,49.0,1650.0,1050.0,1,0.0,0.0,0.0,2990000,49.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,230.0,980.0,1300.0,1,1.0,2.0,0.0,2950000,510.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,450.0,1932.0,1225.0,1,0.0,2.0,1.0,4300000,2.0,2.0,1.0,1.0,1.0,3.0,1.0
0.0,282.0,2200.0,2484.0,1,0.0,2.0,1.0,3300000,597.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,400.0,1932.0,1500.0,1,0.0,2.0,1.0,3300000,22.0,1.0,0.0,1.0,2.0,3.0,1.0
1.0,45.0,750.0,450.0,1,0.0,0.0,1.0,645000,9102.0,0.0,0.0,0.0,1.0,3.0,1.0
2.0,124.0,1266.0,850.0,1,1.0,2.0,1.0,1350000,89.0,1.0,1.0,1.0,3.0,3.0,1.0
1.0,71.0,1952.0,414.0,1,1.0,0.0,0.0,990000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
0.0,282.0,1932.0,200.0,1,0.0,2.0,1.0,900000,375.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,282.0,650.0,900.0,1,0.0,1.0,0.0,890000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,3666.0,1,0.0,2.0,1.0,2950000,1.0,0.0,1.0,1.0,0.0,3.0,1.0
0.0,282.0,540.0,2400.0,1,0.0,0.0,1.0,3300000,2.0,1.0,1.0,1.0,8.0,3.0,1.0
0.0,282.0,4450.0,2800.0,1,0.0,2.0,1.0,4300000,470.0,1.0,1.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,1228.0,1,1.0,1.0,1.0,1350000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,79.0,1932.0,1151.0,1,0.0,0.0,1.0,1599000,9102.0,0.0,1.0,0.0,2.0,3.0,1.0
2.0,80.0,1126.0,559.0,1,1.0,2.0,1.0,1095000,94.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,282.0,1932.0,4150.0,1,0.0,2.0,0.0,3600000,1.0,1.0,0.0,1.0,0.0,3.0,1.0
1.0,414.0,4294.0,3000.0,0,1.0,2.0,0.0,6500000,9102.0,0.0,0.0,1.0,0.0,3.0,1.0
0.0,250.0,1932.0,1000.0,1,0.0,0.0,1.0,2695000,505.0,1.0,0.0,1.0,0.0,3.0,1.0
0.0,467.0,1932.0,2035.0,1,1.0,3.0,1.0,2950000,871.0,0.0,0.0,1.0,2.0,3.0,1.0
0.0,118.0,1932.0,703.0,1,1.0,1.0,1.0,1850000,140.0,0.0,0.0,0.0,1.0,3.0,1.0
0.0,282.0,6000.0,1400.0,1,0.0,0.0,0.0,3300000,480.0,0.0,1.0,0.0,7.0,3.0,1.0
0.0,282.0,1932.0,567.0,1,0.0,0.0,0.0,900000,377.0,1.0,0.0,1.0,0.0,3.0,1.0
2.0,282.0,1932.0,1151.0,1,0.0,2.0,1.0,3100000,300.0,1.0,0.0,0.0,0.0,3.0,1.0
1.0,74.0,2172.0,1147.0,1,1.0,0.0,0.0,2390000,9102.0,1.0,1.0,0.0,1.0,3.0,1.0
2.0,282.0,1443.0,1151.0,1,0.0,0.0,0.0,1095000,9102.0,0.0,0.0,0.0,0.0,3.0,1.0
0.0,991.0,1932.0,1680.0,1,0.0,2.0,1.0,3100000,9102.0,1.0,0.0,1.0,2.0,3.0,1.0
0.0,249.0,1932.0,1087.0,1,0.0,2.0,1.0,2695000,1.0,0.0,0.0,1.0,0.0,3.0,1.0
2.0,70.0,200.0,700.0,1,1.0,2.0,0.0,990000,101.0,0.0,0.0,1.0,2.0,3.0,1.0
